,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
0,2021/12/31,68.88,69.29,67.5,68.92,-0.1,-0.14,136537,93777,2.59,0.3
1,2021/12/30,68.3,69.67,68.08,69.02,0.34,0.5,132975,91591,2.32,0.29
2,2021/12/29,68.68,70.35,68.36,68.68,0.52,0.76,273349,189687,2.92,0.6
3,2021/12/28,68.49,69.3,67.66,68.16,-0.59,-0.86,139714,95487,2.39,0.31
4,2021/12/27,68.84,69.6,67.8,68.75,-0.1,-0.15,135170,92640,2.61,0.3
5,2021/12/24,66.75,69.6,65.78,68.85,2.1,3.15,272498,185955,5.72,0.6
6,2021/12/23,66.5,67.39,66.01,66.75,0,0,151351,101248,2.07,0.33
7,2021/12/22,64.6,67.58,64.59,66.75,1.8,2.77,286939,191496,4.6,0.63
8,2021/12/21,63.22,65.32,62.73,64.95,1.21,1.9,163764,105455,4.06,0.36
9,2021/12/20,64,66,63.32,63.74,0.75,1.19,214098,138260,4.25,0.47
10,2021/12/17,63.25,63.33,62,62.99,-0.38,-0.6,116832,73207,2.1,0.26
11,2021/12/16,62.1,63.43,62.01,63.37,1.09,1.75,119699,75085,2.28,0.26
12,2021/12/15,63.5,63.8,62.11,62.28,-1.65,-2.58,167756,104997,2.64,0.37
13,2021/12/14,65.8,65.85,63.44,63.93,-2.05,-3.11,189958,121985,3.65,0.42
14,2021/12/13,65.99,66.67,65.25,65.98,0.47,0.72,179901,118788,2.17,0.39
15,2021/12/10,65,66.1,64.81,65.51,-0.23,-0.35,148019,96793,1.96,0.32
16,2021/12/9,63.16,66,63.03,65.74,2.68,4.25,310176,202204,4.71,0.68
17,2021/12/8,62.95,63.81,62.75,63.06,0.16,0.25,169891,107431,1.69,0.37
18,2021/12/7,62.65,63.12,61.8,62.9,0.71,1.14,183615,115063,2.12,0.4
19,2021/12/6,60.55,62.19,59.9,62.19,1.69,2.79,236368,144855,3.79,0.52
20,2021/12/3,60.27,60.66,59.73,60.5,0.23,0.38,145123,87394,1.54,0.32
21,2021/12/2,61.37,61.37,60,60.27,-1.11,-1.81,196933,118897,2.23,0.43
22,2021/12/1,61.59,62,61.03,61.38,0.15,0.25,155953,95795,1.58,0.34
23,2021/11/30,61.98,62.33,61.02,61.23,-0.65,-1.05,151189,92855,2.12,0.33
24,2021/11/29,62.73,63.5,61.18,61.88,-1.63,-2.57,184699,114531,3.65,0.41
25,2021/11/26,64.04,64.66,63.17,63.51,-0.43,-0.67,141163,90151,2.33,0.31
26,2021/11/25,65.6,65.6,63.78,63.94,-1.99,-3.02,154968,99668,2.76,0.34
27,2021/11/24,65.44,66.65,64.79,65.93,0.33,0.5,135945,89630,2.84,0.3
28,2021/11/23,66.6,66.6,64.07,65.6,-1.04,-1.56,241430,157048,3.8,0.53
29,2021/11/22,68.11,68.46,66.64,66.64,-0.78,-1.16,208217,140131,2.7,0.46
30,2021/11/19,66,69.85,65.51,67.42,2.08,3.18,346260,235664,6.64,0.76
31,2021/11/18,63.27,66,62.78,65.34,2.07,3.27,268912,174683,5.09,0.59
32,2021/11/17,64.5,65.95,62.85,63.27,-0.14,-0.22,183953,117999,4.89,0.4
33,2021/11/16,62.5,64.46,62.5,63.41,0.41,0.65,155532,99263,3.11,0.34
34,2021/11/15,62.29,63.38,61.69,63,0.7,1.12,117817,74110,2.71,0.26
35,2021/11/12,61.8,62.5,61.16,62.3,0.82,1.33,134469,83332,2.18,0.3
36,2021/11/11,60.3,61.58,60.05,61.48,1.07,1.77,143338,87725,2.53,0.31
37,2021/11/10,60.35,60.49,58.76,60.41,0.13,0.22,142446,85012,2.87,0.31
38,2021/11/9,60.67,60.97,59.71,60.28,-0.41,-0.68,153295,92238,2.08,0.34
39,2021/11/8,62.81,62.81,60.45,60.69,-2.19,-3.48,331707,203507,3.75,0.73
40,2021/11/5,64.61,64.72,62.78,62.88,-1.9,-2.93,208331,131852,2.99,0.46
41,2021/11/4,65.19,65.86,64.59,64.78,-0.38,-0.58,151886,98762,1.95,0.33
42,2021/11/3,65.5,66.18,64.6,65.16,-0.19,-0.29,140506,91401,2.42,0.31
43,2021/11/2,64.56,66.12,64.28,65.35,0.55,0.85,226717,147843,2.84,0.5
44,2021/11/1,64.6,65.65,63.65,64.8,0.17,0.26,230094,149330,3.09,0.51
45,2021/10/29,63.12,65.45,62.71,64.63,1.52,2.41,327793,210392,4.34,0.72
46,2021/10/28,62.5,63.56,61.59,63.11,0.21,0.33,197065,124026,3.13,0.43
47,2021/10/27,62.43,64.31,62.1,62.9,0.17,0.27,271178,171736,3.52,0.6
48,2021/10/26,62.86,63.33,62.49,62.73,-0.16,-0.25,139087,87491,1.34,0.31
49,2021/10/25,62.09,63.2,61.18,62.89,0.39,0.62,263445,164725,3.23,0.58
50,2021/10/22,63.97,64.2,62.35,62.5,-1.02,-1.61,275073,172664,2.91,0.6
51,2021/10/21,63.25,64.25,62.3,63.52,0.12,0.19,260612,164876,3.08,0.57
52,2021/10/20,65.19,65.51,62.86,63.4,-1.7,-2.61,224956,142840,4.07,0.49
53,2021/10/19,64.53,66.1,63.83,65.1,0.57,0.88,159070,103215,3.52,0.35
54,2021/10/18,65.4,65.4,63.1,64.53,-0.87,-1.33,163477,104455,3.52,0.36
55,2021/10/15,67,67.38,64.87,65.4,-0.82,-1.24,195397,128119,3.79,0.43
56,2021/10/14,68.9,69.58,65.8,66.22,-1.98,-2.9,170031,113863,5.54,0.37
57,2021/10/13,67.88,70.61,66.2,68.2,-0.81,-1.17,182911,125309,6.39,0.4
58,2021/10/12,68.75,70.39,67.62,69.01,0.43,0.63,209856,145474,4.04,0.46
59,2021/10/11,69.52,71,68.31,68.58,-0.95,-1.37,190129,131759,3.87,0.42
60,2021/10/8,66.21,70,65.71,69.53,4.18,6.4,328249,226254,6.56,0.72
